,custId,sex,isElderly,partner,dependents,membershipDuration,agreementTerm,acquisitionChannel,phoneService,multipleLines,internetService,monthlyDataUsageGb,cyberProtectionService,onlineBackup,deviceProtection,techSupport,streamingTv,streamingMovies,recurringFee,cumulativeSpend,transactionMethod,paperlessBilling,billingIssues,supportTickets,lastContactRating,serviceSatisfactionScore,mobileAppSatisfaction,networkStabilityScore,avgNetworkLatencyMs,dataLimitWarnings,loyaltyPoints,customerFeedback,competitorOffers,custExit
4713,Q29782,Female,No,No,No,21,One year,Store,Yes,No,DSL,40.79,Yes,Yes,Yes,Yes,No,No,60.25,1258.35,Electronic check,Yes,No,No,5,4,2,9.1,124,Yes,1294,"I have been a customer with this internet service provider for 21 months now and I am very satisfied with the service. The monthly charges are reasonable at $60.25 and I appreciate the convenience of paying through electronic check. The DSL internet service has been reliable and I have not experienced any issues with connectivity. Overall, I am happy with my experience and would recommend this provider to others.",No,No
1238,g10781,Female,No,Yes,No,33,One year,Referral,Yes,No,DSL,78.74,No,Yes,No,Yes,No,No,53.75,1857.3,Credit card (automatic),Yes,No,Yes,4,4,4,Yes,38,2,1074,"""I have been a customer with this DSL internet provider for over 2 and a half years now and I have been very satisfied with the service. The connection has been reliable and the speed meets my needs. The automatic credit card payment makes it convenient for me to pay my monthly bill without any hassle. The monthly charges are reasonable at $53.75. Overall, I have had a positive experience with this provider and would recommend it to others.""",No,No
5713,oi47722,Male,No,No,No,28,One year,Online,Yes,Yes,Fiber optic,66.67,No,Yes,No,No,Yes,Yes,100.2,2688.45,Electronic check,No,No,No,3,5,5,2.9,78,2,1378,"I have been a customer with this company for 28 months now and I have been extremely satisfied with their service. The fiber optic internet service is fast and reliable, and I have had no issues with connectivity. The monthly charges of $100.2 are reasonable for the quality of service I am receiving. I appreciate the convenience of being able to pay with electronic check. Overall, I have no complaints and would highly recommend this company to others.",No,No
4592,K87543,Female,No,Yes,No,69,Month-to-month,Online,Yes,Yes,Fiber optic,44.4,No,Yes,Yes,No,No,No,85.4,5869.4,Bank transfer (automatic),Yes,No,Yes,5,5,3,6.1,93,3,1019,"I have been a customer with this internet service provider for almost six years now and I have been extremely satisfied with their service. The fiber optic internet is fast and reliable, and I have had no issues with connectivity or speed. The automatic bank transfer payment method is convenient and hassle-free. The monthly charges are reasonable for the quality of service I receive. Overall, I have no complaints and would highly recommend this provider to others.",No,No
4297,A17401,Male,No,No,No,62,One year,Store,Yes,No,DSL,50.88,Yes,Yes,No,No,Yes,Yes,74.3,4698.05,Credit card (automatic),Yes,Yes,3,2,4,4,1.9,100,Yes,560,"I have been a customer with this internet service provider for over five years now and I have been very satisfied with their service. The monthly charges are reasonable at $74.3 and I appreciate the convenience of automatic payment through my credit card. I have had no issues with the DSL internet service and have not experienced any interruptions or downtime. Overall, I am happy with my experience and have no plans to switch providers.",No,No
7027,HE19065,Male,No,No,No,Yes,Month-to-month,Online,Yes,No,Fiber optic,21.82,No,Yes,No,No,No,No,70.35,70.35,Electronic check,Yes,No,No,4,5,4,10,83,2,814,"I have been with this internet service provider for one month now and I am very satisfied with the fiber optic internet service they offer. The connection is fast and reliable, and I have not experienced any issues so far. The monthly charges of $70.35 are reasonable for the quality of service I am receiving. I appreciate the convenience of being able to pay with an electronic check. Overall, I am happy with my decision to choose this provider and would recommend them to others.",Yes,No
1237,Y33931,Female,No,No,No,26,Month-to-month,Store,Yes,No,DSL,51.06,No,Yes,Yes,No,No,No,54.75,1406.9,Credit card (automatic),Yes,No,No,3,4,4,10,47,2,874,"I have been a customer with this DSL internet service provider for 26 months now on a month-to-month contract. I have never experienced any issues with my service and have never had any reason to consider churning to a different provider. The monthly charges of $54.75 are reasonable for the quality of service I receive. The automatic credit card payment method is convenient and hassle-free. Overall, I am satisfied with my experience with this provider.",No,No
2352,d40173,Male,No,Yes,No,42,Month-to-month,Store,Yes,Yes,Fiber optic,50.61,Yes,Yes,Yes,No,No,Yes,94.4,4014.6,Electronic check,Yes,Yes,2,4,5,Yes,Yes,113,Yes,1152,"I have been a customer with this company for over three and a half years now and I have been extremely satisfied with the service. The fiber optic internet service is fast and reliable, and I have never experienced any issues with connectivity. The monthly charges are reasonable for the quality of service provided. I appreciate the convenience of being able to pay with electronic check each month. Overall, I have no complaints and would highly recommend this company to others.",No,No
5871,rY60681,Female,No,No,No,Yes,Month-to-month,Online,Yes,No,Fiber optic,14.27,No,Yes,No,No,No,No,70.25,70.25,Electronic check,Yes,No,3,2,4,3,9.7,86,3,1304,"I have been using the fiber optic internet service for the past month and I am extremely satisfied with the speed and reliability. The $70.25 monthly charges are reasonable for the quality of service I am receiving. The convenience of paying through electronic check is also a plus. Overall, I have had a positive experience with this provider and have no complaints.",Yes,No
5281,oa62628,Female,No,Yes,Yes,43,Two year,Agent,Yes,No,DSL,73.82,Yes,Yes,Yes,No,Yes,Yes,75.2,3254.35,Bank transfer (automatic),No,No,3,Yes,4,3,3.9,17,Yes,1300,"I have been a customer with this company for over 3 years now and I have been very satisfied with their service. The DSL internet service has been reliable and fast, and the automatic bank transfer payment method makes it easy for me to pay my bill each month. The monthly charges are also reasonable at $75.2. Overall, I have had no reason to consider switching providers and I would recommend this company to others.",No,No
6216,lA39828,Male,No,No,No,42,Month-to-month,Online,Yes,Yes,Fiber optic,38.82,No,Yes,No,No,Yes,Yes,101.75,4273.45,Electronic check,Yes,Yes,2,5,5,3,5,82,2,977,"I recently decided to cancel my service with this provider after being a customer for 42 months. The monthly charges of $101.75 for fiber optic internet were quite reasonable and the service itself was reliable. However, I ultimately decided to switch providers due to personal reasons. The option to pay via electronic check was convenient and I never had any issues with billing. Overall, I had a positive experience with this provider and would recommend them to others in the market for internet service.",No,Yes
5636,m76420,Male,No,No,Yes,28,One year,Online,Yes,No,DSL,62.22,No,Yes,No,Yes,No,No,54.4,1516.6,Credit card (automatic),Yes,2,4,5,4,5,3.5,29,Yes,1620,"I have been a customer of this DSL internet service provider for 28 months now and I have been very satisfied with the service. The monthly charges are reasonable at $54.4 and the automatic credit card payment method makes it easy to manage. I have not experienced any issues with the service and have not had any reason to consider switching providers. Overall, I would highly recommend this internet service to others.",No,No
5146,jt26291,Female,No,No,No,72,Two year,Online,Yes,Yes,Fiber optic,54.38,Yes,Yes,Yes,Yes,Yes,Yes,114.9,8496.7,Electronic check,Yes,No,Yes,4,3,3,10,58,2,542,"I have been a loyal customer of this company for 6 years now and have been consistently satisfied with the service they provide. The fiber optic internet service has been fast and reliable, and the monthly charges are reasonable for the quality of service I receive. I appreciate the convenience of being able to pay through electronic check, which makes managing my account simple and easy. Overall, I have had a positive experience with this company and would recommend them to others looking for reliable internet service.",No,No
2395,Q70948,Male,No,Yes,Yes,41,One year,Referral,Yes,Yes,Fiber optic,28.38,No,Yes,Yes,Yes,Yes,Yes,102.6,4213.35,Electronic check,Yes,No,Yes,4,3,2,Yes,75,Yes,962,"I have been a customer with this company for 41 months and unfortunately, I have decided to churn. I had a one-year contract with monthly charges of $102.6 for fiber optic internet service. I paid using electronic check. Overall, the service was reliable and the internet speed was good. However, I found a better deal with another provider that offered a lower monthly rate. I would consider coming back in the future if the pricing is more competitive.",No,Yes
1895,L54170,Female,No,Yes,Yes,39,Month-to-month,Online,Yes,No,DSL,43.65,No,Yes,Yes,No,Yes,No,59.85,2341.5,Mailed check,Yes,No,Yes,4,4,5,2.6,34,2,1033,"I have been a customer for almost 3 years now and I have been satisfied with the DSL internet service provided by this company. The monthly charges of $59.85 are reasonable and I appreciate the flexibility of the month-to-month contract. I prefer to pay by mailed check and have not had any issues with the billing process. Overall, I have had a positive experience with this company and have no plans to switch providers.",No,No
6263,Et50169,Female,No,No,No,42,Month-to-month,Store,Yes,No,DSL,47.68,Yes,Yes,Yes,No,No,No,54.55,2455.05,Credit card (automatic),No,No,No,3,5,4,7.4,22,Yes,634,"I have been a customer with this DSL internet provider for 42 months now on a month-to-month contract. I have not experienced any issues with churn and my internet service has been reliable overall. The monthly charges of $54.55 are reasonable for the service provided. I appreciate the convenience of automatic credit card payments. Overall, I am satisfied with my experience as a customer.",Yes,No
310,aJ30790,Female,No,No,No,Yes,Month-to-month,Referral,Yes,No,No,80.23,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,19.25,19.25,Bank transfer (automatic),Yes,No,2,4,4,2,8.8,113,2,1504,"I have been a customer with this service provider for 1 month now and I am satisfied with the monthly charges of $19.25. I appreciate the convenience of automatic bank transfer for payment. However, I do wish there was an option for internet service as it is currently not available. Overall, I have had a positive experience with this company and would recommend it to others.",No,No
3901,b19157,Male,No,No,No,10,Month-to-month,Store,Yes,No,Fiber optic,38.13,No,Yes,No,No,No,No,70.15,735.5,Mailed check,No,4,Yes,4,5,5,1.7,102,3,795,"I have been a customer with this fiber optic internet service provider for 10 months now, and I have been very satisfied with the service. The speed and reliability of the internet connection have been great, and I have not experienced any issues with downtime. The monthly charges of $70.15 are reasonable for the quality of service that I receive. Although I pay by mailed check, the payment process has been smooth and hassle-free. Overall, I am happy with my experience and have no plans to switch providers.",No,No
445,O73342,Female,No,No,No,60,Month-to-month,Online,Yes,Yes,Fiber optic,67.53,No,Yes,Yes,No,Yes,Yes,105.9,6396.45,Electronic check,Yes,No,No,4,4,Yes,3.1,63,Yes,1166,"I have been a customer with this company for 5 years and I have been satisfied with the fiber optic internet service. However, I recently decided to switch providers due to the high monthly charges of $105.90 on a month-to-month contract. I would have preferred a lower rate or a discount for being a long-time customer. Additionally, the payment method of electronic check was convenient for me. Overall, I have had a positive experience with the service but the pricing ultimately led me to churn.",Yes,Yes
3616,bH20554,Male,No,No,No,7,Month-to-month,Online,Yes,Yes,Fiber optic,28.98,No,Yes,Yes,No,Yes,Yes,98.05,713,Bank transfer (automatic),Yes,Yes,No,4,3,5,10,68,No,960,"I decided to cancel my service after 7 months because I found a better deal with another provider. The monthly charges of $98.05 were a bit higher than I would have liked, especially for a month-to-month contract. The fiber optic internet service was reliable, but I ultimately chose to switch for cost savings. The automatic bank transfer payment method was convenient and hassle-free. Overall, I was satisfied with the service but decided to move on for financial reasons.",Yes,Yes
5405,O86089,Male,No,Yes,No,7,Month-to-month,Store,Yes,No,Fiber optic,82.09,No,Yes,No,No,No,No,69.35,451.1,Electronic check,Yes,2,4,4,3,Yes,10,99,Yes,715,"I recently switched internet providers after being with this company for 7 months. The monthly charges were reasonable at $69.35 for fiber optic service, but I ultimately decided to churn because I found a better deal elsewhere. The payment method of electronic check was convenient and never gave me any issues. Overall, I had a positive experience with the internet service itself, but the pricing and contract terms could have been more competitive to keep me as a customer.",No,Yes
467,U30258,Male,No,Yes,Yes,72,One year,Referral,Yes,Yes,Fiber optic,81.47,No,Yes,No,No,Yes,No,89.7,6588.95,Electronic check,Yes,No,Yes,5,4,4,5.3,49,2,408,"I have been a customer with this company for 6 years now and have been extremely satisfied with their service. The fiber optic internet service has been reliable and fast, allowing me to work from home without any issues. The monthly charges are reasonable at $89.7 and I appreciate the convenience of paying with electronic check. Overall, I have no complaints and would highly recommend this company to others.",No,No
6372,nP57347,Male,Yes,Yes,No,43,Month-to-month,Referral,Yes,Yes,Fiber optic,60.44,No,Yes,No,No,Yes,Yes,101.0,4388.4,Electronic check,Yes,Yes,2,3,4,4,4.7,73,2,464,"I have been a customer with this company for over three and a half years on a month-to-month contract with fiber optic internet service. I recently decided to churn because I found a better deal with another provider. While the service was reliable and the speeds were good, I ultimately chose to switch due to the lower monthly charges offered by the competitor. I did appreciate the convenience of paying with electronic check, but ultimately cost was the deciding factor in my decision to leave.",No,Yes
2816,XM27817,Male,No,No,No,Yes,Month-to-month,Store,Yes,No,Fiber optic,44.54,No,Yes,No,No,No,No,70.3,70.3,Electronic check,Yes,Yes,2,5,5,4,1.9,96,3,445,"I recently signed up for fiber optic internet service with this provider on a month-to-month contract. Unfortunately, after only one month, I decided to cancel my service due to some unforeseen circumstances. The monthly charges were reasonable at $70.3, and I appreciated the convenience of being able to pay with an electronic check. Overall, I had a positive experience with the service during my short tenure.",No,Yes
3734,z50145,Male,No,Yes,Yes,35,Two year,Agent,Yes,Yes,DSL,62.39,Yes,Yes,Yes,Yes,No,No,69.15,2490.15,Credit card (automatic),Yes,Yes,No,2,3,5,7,19,No,1693,"I have been a customer with this DSL provider for over two and a half years now and I have been very satisfied with the service. The monthly charges are reasonable at $69.15 and I appreciate the convenience of automatic credit card payments. The internet service has been reliable and I have not experienced any issues with connectivity or speed. Overall, I am happy with my experience and have no plans to switch providers.",Yes,No
6670,Qo36333,Male,No,No,Yes,56,Two year,Store,Yes,Yes,No,59.93,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,24.8,1424.2,Mailed check,Yes,2,No,4,3,2,Yes,83,2,856,"I have been a customer with this company for over 4 and a half years now and I have been very satisfied with the service. Even though I do not have internet service with them, I appreciate the affordable monthly charges and the convenience of being able to pay by mailing a check. I have had no issues with billing or customer service and I have no plans to switch providers. Overall, I am a happy and loyal customer.",Yes,No
3797,M10600,Female,Yes,Yes,No,55,Two year,Referral,Yes,No,Fiber optic,36.11,No,Yes,Yes,Yes,Yes,No,88.8,4805.3,Credit card (automatic),No,Yes,No,4,3,4,6.9,132,2,985,"I have been a loyal customer with this company for 55 months now and I am very satisfied with the service. The fiber optic internet service is fast and reliable, and I have had no issues with connectivity. The automatic payment method with my credit card makes it convenient and hassle-free to pay my monthly charges of $88.8. Overall, I have had a great experience and have no plans to churn. Highly recommend this company for their excellent service.",No,No
612,cA34669,Female,No,No,Yes,65,Two year,Online,No,No phone service,DSL,47.92,No,Yes,No,Yes,Yes,No,45.25,2933.95,Mailed check,No,Yes,Yes,Yes,4,5,10,70,Yes,1018,"I have been a customer with this company for 65 months now and have been very satisfied with the service. The DSL internet service has been reliable and the monthly charges of $45.25 are affordable. I appreciate being able to pay with a mailed check as it is convenient for me. Overall, I have had no issues with the service and am happy to continue with this company.",Yes,No
1466,Mr34797,Male,No,No,Yes,10,One year,Referral,Yes,No,No,41.85,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,19.95,219.5,Bank transfer (automatic),Yes,No,3,2,5,5,7.9,25,Yes,1379,"I have been a customer with this company for 10 months now and so far, I am very satisfied with the service. The automatic bank transfer payment method makes it convenient for me to pay my monthly charges of $19.95. Even though I do not have internet service with this company, I have not experienced any issues with my contract. Overall, I am happy with the service and have no plans to churn in the near future.",No,No
2638,nx17982,Male,No,No,No,57,Two year,Agent,Yes,No,No,21.04,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,20.75,1118.8,Mailed check,No,No,4,2,3,3,4.3,48,Yes,1196,"I have been a customer with this company for almost 5 years now and I have never experienced any issues with my service. The monthly charges are very reasonable at $20.75 and I appreciate the option to pay by mailed check. Even though I do not have internet service with this company, I have been satisfied with the overall service and would recommend it to others.",No,No
1552,Kn38826,Male,No,Yes,Yes,22,One year,Store,Yes,No,No,18.34,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,20.25,488.25,Bank transfer (automatic),No,Yes,4,2,5,3,9.9,16,3,1320,"I have been a customer with this company for 22 months and have been satisfied with their service. The automatic bank transfer payment method makes it convenient for me to pay my monthly charges of $20.25. Even though I do not have internet service with them, I have had no issues with billing or any other aspect of their service. Overall, I am happy with my experience and have no plans to churn in the near future.",No,No
3303,YS79905,Male,No,No,No,Yes,Month-to-month,Referral,Yes,No,No,63.09,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,20.8,20.8,Mailed check,No,No,Yes,5,3,3,10,52,Yes,1964,"I have been a customer with this company for just one month now, and so far I am satisfied with the service. Even though I do not have internet service with them, I appreciate the affordable monthly charges of $20.8. I also like the option to pay via mailed check as it is convenient for me. Overall, I have had a positive experience with this company and have no complaints.",Yes,No
1910,oM66120,Male,No,No,No,6,Month-to-month,Online,Yes,No,DSL,24.95,No,Yes,Yes,No,Yes,No,60.9,414.1,Mailed check,No,No,3,Yes,5,5,Yes,71,Yes,1540,"I have been a customer with this DSL internet provider for 6 months now on a month-to-month contract. I have been satisfied with the service overall and have not experienced any issues that would make me want to churn. The monthly charges of $60.9 are reasonable for the service provided. The only downside is that I have to pay by mailed check, which can be a bit inconvenient at times. Overall, I am happy with the internet service and would recommend it to others.",Yes,No
175,gO72195,Female,No,Yes,No,34,Month-to-month,Store,Yes,Yes,No,12.9,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,24.7,780.2,Electronic check,No,2,3,4,5,5,5.4,32,2,535,"I have been a customer with this company for 34 months now and I have been satisfied with their service. The monthly charges are reasonable at $24.7 and I appreciate the convenience of the month-to-month contract. I do not use their internet service but I have not had any issues with my electronic check payment method. Overall, I have had a positive experience with this company and would recommend them to others.",No,No
1197,hH16946,Female,No,Yes,No,72,Two year,Online,Yes,Yes,Fiber optic,21.27,No,Yes,Yes,Yes,Yes,Yes,110.15,7998.8,Electronic check,Yes,Yes,2,4,4,2,6.4,36,3,201,"I have been a loyal customer with this company for 6 years now and I have been very satisfied with the service. The fiber optic internet is fast and reliable, and the monthly charges are reasonable at $110.15. I have never experienced any issues with billing or service interruptions. I appreciate the convenience of being able to pay with electronic check. Overall, I am very happy with my experience and would highly recommend this company to others.",No,No
3668,M27138,Male,Yes,Yes,No,39,Month-to-month,Agent,Yes,Yes,Fiber optic,70.86,No,Yes,Yes,No,Yes,Yes,105.65,4284.8,Electronic check,Yes,2,No,Yes,3,2,Yes,41,Yes,368,"I recently decided to cancel my service after being a customer for 39 months on a month-to-month contract. The monthly charges of $105.65 for fiber optic internet were reasonable, but I ultimately decided to switch to a different provider for a better deal. The payment method of electronic check was convenient and I never had any issues with billing. Overall, I was satisfied with the service during my time as a customer.",No,Yes
6059,oN60937,Male,No,No,No,3,Month-to-month,Store,Yes,No,DSL,65.68,No,Yes,No,No,No,No,43.3,123.65,Electronic check,Yes,Yes,Yes,2,5,5,3.8,64,Yes,1925,"I recently ended my service with this company after only 3 months. While the monthly charges were affordable at $43.3, I found the DSL internet service to be unreliable and slow. The payment method of electronic check was convenient, but ultimately I decided to switch to a different provider for better quality service. I would recommend looking into other options for internet service.",Yes,Yes
3933,Rt62581,Female,No,Yes,Yes,72,Two year,Online,Yes,No,DSL,60.64,Yes,Yes,Yes,No,No,Yes,68.75,4888.2,Credit card (automatic),No,Yes,5,4,4,5,5,56,Yes,406,"I have been a customer with this company for 6 years now and I am very satisfied with the service. The DSL internet service has been reliable and the monthly charges of $68.75 are reasonable. I appreciate the convenience of automatic credit card payments and have had no issues with billing. Overall, I am happy with my experience and have no plans to switch providers.",Yes,No
2204,Qz93117,Male,No,No,No,13,Month-to-month,Online,No,No phone service,DSL,35.39,No,Yes,No,No,No,No,25.15,331.85,Bank transfer (automatic),Yes,2,No,4,5,5,10,11,Yes,784,I have been a customer with this DSL internet provider for 13 months now on a month-to-month contract. I have been satisfied with the service overall. The monthly charges of $25.15 are reasonable for the speed and reliability of the internet connection I receive. I appreciate the convenience of automatic bank transfer for payment. I have not experienced any issues with churn and plan to continue using this service in the future.,Yes,No
189,O88464,Female,No,Yes,No,40,Month-to-month,Referral,Yes,Yes,DSL,15.84,No,Yes,No,No,No,No,56.6,2379.1,Credit card (automatic),No,No,4,2,4,Yes,5.8,31,Yes,402,"I have been a customer with this DSL internet service provider for 40 months now and I am very satisfied with the service. The monthly charges of $56.6 are reasonable for the quality of service I receive. The automatic credit card payment method makes it convenient for me to pay my bills on time. I have had no issues with the service and have not experienced any disruptions or outages. Overall, I would highly recommend this provider to others looking for reliable and affordable internet service.",No,No
5404,s80267,Female,No,No,No,Yes,Month-to-month,Online,Yes,No,Fiber optic,80.79,No,Yes,No,No,No,Yes,81.95,81.95,Electronic check,Yes,No,2,Yes,3,3,8.6,67,3,1166,"I recently signed up for fiber optic internet service with this provider on a month-to-month contract. Unfortunately, after just one month, I decided to cancel due to the high monthly charges of $81.95. Despite the fast and reliable internet connection, I found the cost to be too expensive for what I was receiving. I also had some issues with the payment method using electronic check, which was frustrating. Overall, I was not satisfied with the value for the price and chose to churn and look for a more affordable option.",No,Yes
3314,j29069,Male,No,No,No,15,Month-to-month,Online,Yes,Yes,Fiber optic,73.68,No,Yes,No,No,Yes,Yes,93.35,1444.65,Electronic check,Yes,2,2,Yes,5,3,10,100,No,159,"I recently decided to switch to a different internet provider after being with this company for 15 months on a month-to-month contract. While the fiber optic internet service was reliable and fast, I found the monthly charges of $93.35 to be on the higher side compared to other providers in the area. Additionally, I prefer to pay my bills using a credit card rather than electronic check, so that was another factor that led me to move on. Overall, I had a decent experience with the internet service itself, but the pricing and payment method options ultimately influenced my decision to churn.",No,Yes
4483,wI14186,Male,No,No,No,63,One year,Store,Yes,Yes,DSL,74.35,Yes,Yes,Yes,Yes,No,No,71.5,4576.3,Electronic check,No,2,Yes,Yes,5,5,7.3,56,2,822,"I have been a customer with this company for over five years now and I have been very satisfied with the service. The DSL internet has been reliable and the monthly charges are reasonable at $71.5. I appreciate the convenience of paying with electronic check. Overall, I have had no reason to consider churning and I plan to continue using this service in the future.",No,No
5180,Nc35679,Female,No,Yes,Yes,36,Two year,Online,No,No phone service,DSL,29.09,Yes,Yes,Yes,Yes,No,No,40.65,1547.35,Credit card (automatic),No,No,2,4,5,5,3.4,67,No,1183,"I have been a customer with this DSL internet service provider for 3 years now and I have been very satisfied with the service. The monthly charges are reasonable at $40.65 and I appreciate the convenience of automatic credit card payments. The internet connection has been reliable and I have not experienced any issues with downtime. Overall, I am happy with my experience and would recommend this provider to others.",No,No
4864,AM90008,Female,Yes,No,No,65,Month-to-month,Referral,Yes,Yes,Fiber optic,44.85,No,Yes,Yes,No,Yes,No,95.45,6223.3,Bank transfer (automatic),Yes,No,3,3,3,4,10,41,Yes,743,"I have been a loyal customer for 65 months with the month-to-month fiber optic internet service. The automatic bank transfer for payment has been convenient and hassle-free. The $95.45 monthly charge is reasonable for the quality of service I receive. I have had no issues with my internet connection and have not experienced any reason to churn. Overall, I am satisfied with the service provided.",No,No
5773,F32496,Male,No,Yes,Yes,63,Two year,Online,Yes,No,No,54.56,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,19.55,1245.6,Mailed check,No,No,6,4,5,5,Yes,21,Yes,860,"I have been a customer with this company for over 5 years now and have been on a two-year contract with them. I have never had any issues with my service and have never experienced any churn. Although I do not have internet service with them, I have been satisfied with the reliability of my other services. I appreciate the option to pay with a mailed check as it is convenient for me. Overall, I am a happy customer and plan to continue using their services in the future.",No,No
4488,ub63206,Female,No,Yes,Yes,71,Two year,Online,Yes,No,No,66.01,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,20.5,1500.95,Bank transfer (automatic),No,No,Yes,Yes,4,2,Yes,49,No,1218,"I have been a loyal customer with this company for over 6 years now and I have never had any issues with my service. The automatic bank transfer payment method makes it convenient for me to pay my monthly bill on time. Even though I do not have internet service with them, I am satisfied with the $20.5 monthly charges for the services I do have. Overall, I am happy with my experience and have no plans to switch to another provider.",No,No
1794,ec81635,Male,Yes,Yes,No,72,Two year,Online,Yes,Yes,Fiber optic,52.79,No,Yes,Yes,Yes,Yes,Yes,109.75,7932.5,Bank transfer (automatic),Yes,No,2,3,5,4,3.8,32,2,1156,"I have been a customer with this company for 6 years now and I must say I am extremely satisfied with their service. The fiber optic internet service has been reliable and fast, and I have never experienced any issues with connectivity. The automatic bank transfer payment method makes it convenient for me to pay my monthly charges without any hassle. Even though the monthly charges are on the higher side at $109.75, I believe it is worth it for the quality of service I receive. Overall, I have no complaints and would highly recommend this company to others.",No,No
4913,rB81030,Male,No,Yes,No,69,Two year,Store,Yes,Yes,Fiber optic,37.03,Yes,Yes,Yes,Yes,Yes,Yes,112.55,7806.5,Bank transfer (automatic),Yes,Yes,Yes,Yes,4,Yes,6.5,63,2,1142,"I have been a loyal customer of this company for almost six years now, and I have been extremely satisfied with their service. The fiber optic internet service is fast and reliable, and I have never experienced any downtime. The automatic bank transfer payment method is convenient and hassle-free. Even though the monthly charges are a bit on the higher side at $112.55, I believe the quality of service justifies the cost. Overall, I have no complaints and will continue to be a happy customer.",No,No
4537,a55246,Male,No,No,No,22,One year,Referral,Yes,No,No,41.51,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,19.6,422.5,Mailed check,No,No,2,5,5,4,7.6,35,Yes,1228,"I have been a customer with this company for 22 months now and have not experienced any issues that would cause me to churn. I am on a one-year contract with monthly charges of $19.6, which I find to be reasonable. I do not have internet service with this company, but I have been satisfied with the service I do receive. I typically pay my bills with a mailed check and have not had any issues with the payment process. Overall, I am a happy and loyal customer.",No,No
6077,mG76519,Female,No,No,Yes,46,One year,Referral,Yes,No,Fiber optic,83.72,Yes,Yes,No,Yes,Yes,Yes,105.2,4822.85,Bank transfer (automatic),Yes,Yes,2,Yes,5,5,3.2,88,Yes,1119,"I have been a customer with this company for nearly four years now, but unfortunately, I have decided to cancel my services. The monthly charges of $105.2 for fiber optic internet were reasonable, and the convenience of automatic bank transfers for payment was a plus. However, after 46 months of being a customer, I feel like I am not getting the quality of service that I initially signed up for. I have experienced frequent outages and slow internet speeds, which have become frustrating. Despite reaching out to customer service for assistance, the issues have not been resolved to my satisfaction. As a result, I have decided to switch to a different provider for a more reliable internet connection.",No,Yes
4943,he46249,Female,No,No,Yes,9,Month-to-month,Store,Yes,No,Fiber optic,38.34,Yes,Yes,Yes,Yes,No,Yes,93.0,870.25,Bank transfer (automatic),No,No,3,3,3,2,1.7,48,No,720,"I have been a customer with this fiber optic internet service provider for 9 months now and I am extremely satisfied with the service. The speed and reliability of the connection have been top-notch, and I have not experienced any issues with the service so far. The automatic bank transfer payment method is convenient and hassle-free. The monthly charges of $93.0 are reasonable for the quality of service provided. Overall, I am happy with my experience and would recommend this provider to others.",No,No
4972,V43782,Male,Yes,Yes,No,59,One year,Store,Yes,No,Fiber optic,37.24,Yes,Yes,Yes,No,No,No,82.95,4903.15,Credit card (automatic),Yes,2,3,Yes,5,Yes,10,52,No,1091,"I have been a customer with this company for almost 5 years now and I have been extremely satisfied with their service. The fiber optic internet is incredibly fast and reliable, and I have never experienced any issues with my connection. The automatic payment method with my credit card makes it easy to manage my bills and I never have to worry about missing a payment. The monthly charges are reasonable for the quality of service that I receive. Overall, I have no complaints and would highly recommend this company to others.",Yes,No
1084,vE51616,Female,No,Yes,Yes,22,One year,Online,Yes,No,No,32.54,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,20.75,452.35,Bank transfer (automatic),No,No,No,Yes,5,5,6.5,83,No,783,"I have been a customer with this company for 22 months now and I am very satisfied with their service. The automatic bank transfer payment method makes it convenient for me to pay my monthly charges of $20.75 on time. Although I do not have internet service with them, I have had no issues with my contract type of one year. Overall, I have had a positive experience and have not experienced any reason to churn. I would recommend this company to others.",No,No
5477,QW90356,Female,No,Yes,Yes,12,Month-to-month,Online,Yes,No,No,75.68,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,19.4,198.1,Bank transfer (automatic),No,No,3,4,5,2,5.4,49,Yes,395,"I have been a customer with this company for 12 months now and overall I am satisfied with the service. The monthly charges are reasonable at $19.4 and I appreciate the convenience of the automatic bank transfer payment method. However, I do wish that internet service was offered as part of the package. Overall, I have not experienced any issues with the company and am likely to continue my month-to-month contract with them.",Yes,No
5963,kQ81860,Female,No,No,No,26,Month-to-month,Online,Yes,Yes,DSL,42.77,Yes,Yes,No,No,Yes,No,69.5,1800.05,Bank transfer (automatic),Yes,Yes,Yes,2,5,3,3.4,71,2,425,"I have been a customer with this DSL internet service provider for the past 26 months on a month-to-month contract. I have never experienced any issues with my service and have not had any reason to churn. The monthly charges of $69.5 are reasonable for the quality of service I receive. I appreciate the convenience of automatic bank transfers for payment. Overall, I am satisfied with my experience with this provider.",No,No
