name,category_list,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at
flikdate,Internet|Mobile|Online Dating|Real Time,350000,operating,USA,HI,Maui,Kahului,1,2012-01-01,2014-06-26,2014-06-26
Flikn,Education,70519,operating,PER,15,PER - Other,Miraflores,2,,2014-09-04,2015-04-01
FlimFlam,Apps|Personal Data|Privacy,1250000,operating,USA,DC,"Washington, D.C.",Washington,2,,2015-01-03,2015-03-13
Flimmer,Photography,-,operating,,,,,1,,2013-09-20,2013-09-20
Flimper,Social Media Marketing,150000,operating,ARG,7,Buenos Aires,Buenos Aires,1,2015-02-20,2013-09-16,2013-09-16
flinc,Clean Technology|File Sharing|Mobile|Navigation|Real Time,-,operating,DEU,8,Mannheim,Ludwigshafen Am Rhein-oggersheim,2,2010-05-21,2014-01-01,2015-07-13
Flinders Design,E-Commerce|Home Decor,550000,operating,NLD,7,Amsterdam,Amsterdam,1,2011-01-15,2013-12-20,2013-12-20
Fling,Apps|Photo Sharing|Social Network Media,11000000,operating,,,,,1,2014-02-27,2014-03-31,2014-03-31
Flinja,All Students|Freelancers|Services|Social Media,1200000,operating,USA,CA,SF Bay Area,San Francisco,2,2013-10-01,2013-10-13,2014-01-21
Flinqer,Finance,-,operating,NLD,7,Amsterdam,Amsterdam,1,2011-05-01,2012-06-27,2012-06-27
Flint,Mobile,20400000,operating,USA,CA,SF Bay Area,Redwood City,4,2011-01-01,2012-05-09,2014-10-22
Flint and Tinder,E-Commerce,850000,operating,USA,NY,New York City,New York,1,2011-01-01,2012-10-21,2012-10-21
Flint Capital,Advertising|Enterprises|Finance Technology|Mobile|Online Education|SaaS|Security|Technology,100000000,operating,ESP,56,Barcelona,Barcelona,3,2013-05-13,2013-05-13,2015-04-29
Flintgames,Games,2934921,operating,KOR,11,Seoul,Seoul,1,,2014-06-03,2014-06-03
Flinto,E-Commerce|Kids|Textbooks,335000,operating,IND,25,Chennai,Chennai,2,2013-01-01,2013-08-27,2014-10-02
FLIO,Apps,-,operating,DEU,4,Hamburg,Hamburg,1,2014-10-01,2015-04-08,2015-04-08
Flip Flop Shops®,,-,operating,USA,CO,Denver,Denver,1,2013-11-01,2013-11-18,2013-11-18
Flip Jobs,,33433,closed,,,,,1,,2014-05-12,2014-05-12
Flip Technologies,Consumer Electronics|Hardware + Software|Internet of Things|Sports,185000,operating,IND,13,Kochi,Kochi,3,2014-01-10,2015-03-08,2015-09-01
FLIP4NEW,E-Commerce|Electronics|Gadget|Marketplaces,380910,operating,DEU,5,Frankfurt,Frankfurt,2,2009-10-01,2010-09-08,2012-02-03
Flipagram,Photography|Video,70000000,operating,USA,CA,Los Angeles,Los Angeles,1,2013-10-16,2015-07-16,2015-07-16
Flipaste,Advertising|Internet|Marketplaces|Travel & Tourism,25000,operating,ARG,7,Buenos Aires,Buenos Aires,1,2010-01-01,2012-08-01,2012-08-01
Flipcause,Crowdfunding|E-Commerce|Enterprise Software|Event Management|Nonprofits|Payments|SaaS,320000,operating,USA,CA,SF Bay Area,Oakland,2,2013-09-01,2014-09-01,2014-10-01
flipClass,Education,250000,operating,IND,19,Bangalore,Bangalore,1,2013-01-01,2014-08-14,2014-08-14
FlipGive,Brand Marketing|Crowdfunding|E-Commerce|Internet Marketing|Peer-to-Peer|Social Fundraising,2000000,operating,CAN,ON,Toronto,Toronto,1,2008-02-01,2012-09-25,2012-09-25
Vidku,Social Media,17000000,operating,USA,MN,Minneapolis,Minneapolis,1,2014-10-01,2015-02-24,2015-02-24
Flipiture,Photography,611347,operating,USA,CA,SF Bay Area,Fairfax,2,2011-01-01,2011-12-27,2013-03-21
Flipkart,E-Commerce|Online Shopping,3151140000,operating,IND,19,Bangalore,Bangalore,12,2007-09-01,2009-01-01,2015-07-28
FlipKey,Reviews and Recommendations|Travel|Vacation Rentals,500000,acquired,USA,MA,Boston,Boston,2,2007-01-01,2007-12-01,2008-08-20
Fliplife,Games,-,operating,DEU,7,Cologne,Cologne,1,2010-01-01,2011-01-01,2011-01-01
Fliplingo,Social Media|Translation,150000,operating,DEU,16,Berlin,Berlin,1,,2014-07-30,2014-07-30
Flipps,Digital Media|Mobile|Television|Video on Demand,5840835,operating,USA,CA,SF Bay Area,San Mateo,4,2012-05-30,2012-12-17,2015-04-22
Flipsicle,Apps|Photo Sharing,2000000,operating,USA,NY,New York City,New York,1,2013-11-01,2014-11-12,2014-11-12
Flipter,Big Data|Curated Web|Polling|Social Media,60000,acquired,CHL,12,Santiago,Santiago,2,2010-01-01,2012-02-15,2013-09-01
Fliptop,Big Data|Enterprise Software|Predictive Analytics|Software,8500000,acquired,USA,CA,SF Bay Area,San Francisco,3,2010-01-01,2011-06-28,2013-03-01
Flipxing.com,Curated Web,40000,operating,USA,NY,New York City,New York,1,2013-05-08,2012-07-17,2012-07-17
Flipzu,Audio|Broadcasting|Games|Music,150000,closed,ARG,7,Buenos Aires,Buenos Aires,1,2010-06-01,2011-05-13,2011-05-13
Fliqq,Photography,729597,operating,USA,NY,New York City,New York,2,2010-01-01,2011-02-28,2013-05-03
Fliqz,Games,13200001,acquired,USA,CA,SF Bay Area,Emeryville,4,2005-05-10,2006-01-01,2009-07-10
Flirtey,Hardware|Public Transportation|Robotics,-,operating,USA,NV,Reno - Sparks,Reno,2,,2015-01-01,2015-09-07
Flirtic.com,Consumer Internet|Online Dating|Social Media|Startups,-,operating,EST,1,Tallinn,Tallinn,1,2010-07-01,2011-06-09,2011-06-09
Flirtomatic,Mobile|Networking|Online Dating|Social Media,12951579.9733927,closed,GBR,H9,London,London,3,2006-01-01,2007-06-18,2010-11-24
Flisom,Manufacturing,10000000,operating,CHE,,,,1,2005-01-01,2015-06-12,2015-06-12
Flit,Curated Web,750000,operating,,,,,1,,2012-12-19,2012-12-19
Flite,Advertising|Brand Marketing|Mobile Advertising|Technology,40999990,operating,USA,CA,SF Bay Area,San Francisco,3,2006-01-01,2012-07-09,2015-07-23
Flite Lite,Online Reservations|Search|Travel,41250,operating,,,,,1,,2014-12-01,2014-12-01
Flitto,Android|Crowdsourcing|iOS|Translation,705903,operating,KOR,11,Seoul,Seoul,1,2012-08-24,2012-08-24,2012-08-24
Flix Innovations Ltd,Cloud Data Services|Film Distribution,1106831,closed,GBR,J1,GBR - Other,Towcester,1,2008-06-01,2015-04-15,2015-04-15
FlixBus,Leisure|Public Transportation|Travel & Tourism,-,operating,DEU,2,Munich,Munich,2,,2013-09-01,2015-01-07
FlixChip,Entertainment|Games,-,operating,USA,CA,Sacramento Valley,Chico,1,2011-12-07,2014-08-29,2014-08-29
Flixel Photos,Photography,5226555,operating,CAN,NL,St. John's,Saint John's,5,2011-10-14,2011-10-26,2015-10-05
Flixlab,Entertainment|Games|Presentations|Video,5102400,closed,USA,CA,SF Bay Area,Palo Alto,7,2010-01-01,2008-10-22,2011-03-22
Flixpress,Photography|Software|Video,-,operating,USA,IA,IA - Other,Davenport,1,2013-11-02,2013-04-30,2013-04-30
Flixster,Entertainment|Networking|Social Media|Social Network Media|Video Streaming,7175000,acquired,USA,CA,SF Bay Area,San Francisco,3,2006-01-20,2006-02-01,2008-04-04
Flixwagon,Broadcasting|Mobile|Video|Video Streaming,2500000,operating,ISR,5,Tel Aviv,Tel Aviv,3,2007-01-01,2007-01-01,2010-01-01
Simpliday,Application Platforms|Apps,1119232,operating,SWE,27,Malmo,Malmö,3,2014-01-01,2014-06-19,2015-04-20
FloWater,Consumer Goods|Sustainability|Water,900000,operating,USA,CA,SF Bay Area,Burlingame,2,2013-01-01,2013-03-21,2013-07-10
Float: Milwaukee,Medical,-,operating,USA,WI,Milwaukee,Milwaukee,1,2014-01-10,2014-01-10,2014-01-10
Flocasts,Advertising|Internet|Media|Product Development Services|Sports|Video|Video Streaming,8000000,operating,USA,TX,Austin,Austin,1,2006-05-17,2014-09-04,2014-09-04
Flocations,Big Data|Consumers|Travel,623500,acquired,SGP,,Singapore,Singapore,3,2012-05-01,2012-02-01,2012-12-14
Flock,Browser Extensions|Social Media|Software,28300000,acquired,USA,CA,SF Bay Area,Menlo Park,5,2005-01-01,2005-01-01,2008-05-22
Flock,Apps|Employment|Human Resources|Internet|Software,2000000,operating,USA,CA,SF Bay Area,San Francisco,1,2015-01-01,2015-07-13,2015-07-13
FlockTAG,Advertising|Incentives|Small and Medium Businesses,1250000,operating,USA,MI,Detroit,Ann Arbor,2,2011-01-01,2012-04-13,2013-10-13
Flocktory,E-Commerce,1700000,operating,RUS,48,Moscow,Moscow,2,2012-04-01,2012-04-01,2013-06-05
Flodesign Sonics,Manufacturing,10598871,operating,USA,MA,MA - Other,Wilbraham,1,2010-01-01,2014-04-17,2014-04-17
Flogs.com,Curated Web|Email|Event Management|Events|Facebook Applications|Synchronization,2944400,operating,NLD,7,Amsterdam,Amsterdam,1,2008-12-01,2009-10-06,2009-10-06
Flomio,FinTech|NFC|RFID,543000,operating,USA,FL,Miami,Miami Beach,2,2011-05-01,2012-01-01,2012-07-27
Floobits,Software,-,operating,USA,CA,SF Bay Area,San Francisco,2,2013-01-01,2013-06-01,2013-09-01
FloodKit,Consulting,296019,operating,GBR,D7,Stourbridge,Stourbridge,1,,2014-10-01,2014-10-01
Floodlight,Advertising|SEO|Social Media,500000,operating,USA,CA,SF Bay Area,San Francisco,1,,2012-12-03,2012-12-03
Floop,Social Media,475000,closed,USA,CT,CT - Other,Woodbridge,2,,2011-03-16,2011-07-11
Floop Technologies,Mobile,1359000,operating,CAN,QC,Montreal,Montréal,5,2012-12-19,2013-01-01,2014-07-24
Floor64,Blogging Platforms|Curated Web|Technology,1673504,operating,USA,CA,SF Bay Area,Sunnyvale,1,2000-01-01,2014-08-19,2014-08-19
Floorball Gear,Sporting Goods|Sports,-,operating,USA,CA,"Orange County, California",Mission Viejo,1,2010-12-10,2011-09-10,2011-09-10
Floored,3D|Enterprises|Hardware|Real Estate|Software,7360000,operating,USA,NY,New York City,New York,3,2012-07-01,2012-12-01,2013-12-19
FloorPrep Solutions,Manufacturing,-,operating,USA,TX,Houston,Houston,1,2009-10-01,2014-03-04,2014-03-04
Flooved,Education,600000,operating,GBR,H9,London,London,1,2011-07-04,2013-09-20,2013-09-20
Flooz,Internet|Search,8000000,operating,,,,,1,,2001-01-16,2001-01-16
Floq,Curated Web|Reviews and Recommendations|SaaS|Surveys,250000,operating,AUS,2,AUS - Other,Osborne,1,2011-09-14,2011-07-01,2011-07-01
FloQast,Accounting|B2B|Enterprise Software|SaaS,1350000,operating,USA,CA,Los Angeles,Los Angeles,2,2013-01-01,2013-10-07,2014-11-05
Floqq,Education|Marketplaces|Video,1060000,operating,ESP,29,Madrid,Madrid,5,2012-01-01,2012-01-30,2013-12-19
FloraPulse,,-,operating,,,,,1,,2014-11-01,2014-11-01
Flores Online,,-,operating,BRA,2,Sao Paulo,São Paulo,1,,2012-06-01,2012-06-01
Flores Y Mas,E-Commerce|Flowers|Specialty Retail,175000,operating,COL,2,Medellin,Medellín,1,,2014-03-28,2014-03-28
Florida Bank Group,Finance,33000000,operating,USA,FL,Tampa,Tampa,1,1985-01-01,2013-08-14,2013-08-14
Florida Biomed,Biotechnology,1550000,operating,USA,PA,Philadelphia,Bryn Mawr,1,,2010-08-31,2010-08-31
Florida Digital Network,Communications Infrastructure,35000000,operating,USA,FL,Orlando,Maitland,1,,2002-08-16,2002-08-16
Florida Hospital,Hospitality,2000000,operating,USA,FL,Orlando,Orlando,1,,2014-07-30,2014-07-30
Florida's Realty Network,Non Profit,-,operating,USA,FL,Orlando,Orlando,1,2013-02-17,2013-12-02,2013-12-02
Floship,Crowdfunding|E-Commerce|Logistics Company|Shipping|Software|Supply Chain Management,1200000,operating,HKG,,Hong Kong,Hong Kong,1,2015-01-01,2015-09-07,2015-09-07
FloSports,Sports,3000000,operating,USA,TX,Austin,Austin,1,2006-01-01,2015-06-03,2015-06-03
Flossonic,Biotechnology,193679,operating,GBR,J8,Nottingham,Nottingham,1,,2013-06-04,2013-06-04
FlossTime,Health Care|Medical Devices,13339,operating,USA,CA,SF Bay Area,Palo Alto,1,2015-01-01,2015-10-28,2015-10-28
Bridge,Enterprise Software,1400000,operating,USA,CA,SF Bay Area,Berkeley,2,2010-10-03,2011-03-02,2012-01-05
Flourish Prenatal,Medical,-,operating,USA,MD,Baltimore,Pikesville,1,2012-01-01,2014-02-21,2014-02-21
Flow,Content|Internet TV|Startups,1181792,operating,SWE,26,Stockholm,Stockholm,1,,2015-08-31,2015-08-31
Flow Forward Medical,Medical Devices,5700000,operating,USA,KS,Kansas City,Olathe,1,2010-01-01,2015-05-18,2015-05-18
Flow Hive,Natural Resources|New Product Development|Specialty Foods,10522209,operating,AUS,2,AUS - Other,Byron Bay,1,,2015-04-14,2015-04-14
Flow Kana,Agriculture|Cannabis,500000,operating,USA,CA,SF Bay Area,San Francisco,2,2014-01-01,2014-02-01,2014-09-01
Flow State Media,Games,2000000,operating,USA,CA,SF Bay Area,Burlingame,3,,2013-12-01,2014-11-21
Flow Studio,Entertainment|Games|Mobile,250000,operating,CZE,52,Prague,Prague,1,2011-01-07,2013-08-02,2013-08-02
Flow Traders,,-,operating,NLD,7,Amsterdam,Amsterdam,1,2004-01-01,2008-05-29,2008-05-29
FlowBelow Aero,Aerospace|Fleet Management|Heavy Industry,1226559,operating,USA,TX,Austin,Austin,3,2012-01-01,2012-07-09,2014-04-01
Flowbox,Software|Video|Video Processing|Visualization,45000,operating,POL,77,Krakow,Kraków,1,2010-01-01,2014-01-01,2014-01-01
FlowCardia,Health Care,30000000,acquired,USA,CA,SF Bay Area,Sunnyvale,1,2002-01-01,2007-08-30,2007-08-30
FlowCo,Biotechnology,3000000,operating,USA,IN,Indianapolis,Indianapolis,2,2007-01-01,2009-11-04,2010-06-18
Flower Orthopedics,Biotechnology,9200000,operating,USA,PA,Philadelphia,Horsham,3,2012-01-01,2014-04-02,2015-03-23
Flowgear,Data Integration|Information Technology|PaaS|SaaS,680832,operating,ZAF,,Johannesburg,Gauteng,2,2010-01-01,2010-06-01,2014-12-01
Flowgram,Curated Web|Digital Media,1300000,closed,USA,CA,SF Bay Area,San Francisco,1,2007-06-01,2008-01-31,2008-01-31
Flowics,Internet Marketing|Real Time|Social Media Marketing|Social Media Monitoring,1000000,operating,ARG,7,Buenos Aires,Buenos Aires,1,2012-06-01,2012-04-25,2012-04-25
Flowify Limited,Enterprise Software|Hospitality|Restaurants|Software,130532,operating,GBR,L9,Sheffield,Sheffield,2,2013-03-01,2013-01-01,2013-10-31
Flowity,Enterprise Software|Messaging|Outsourcing,64000,operating,USA,CA,SF Bay Area,San Mateo,1,,2013-09-01,2013-09-01
Flowline,Clean Technology,5104587,operating,GBR,E4,GBR - Other,Rayleigh,1,1991-06-01,2014-06-27,2014-06-27
FlowMedica,Health Care,20600000,acquired,USA,CA,SF Bay Area,Fremont,2,2002-01-01,2004-10-11,2005-11-08
FlowMetric,Biotechnology,1501478,operating,USA,PA,Philadelphia,Doylestown,1,2010-01-01,2011-02-14,2011-02-14
Flowonix,Health Care,65000000,operating,USA,NJ,Newark,Budd Lake,3,,2012-05-24,2014-11-11
FlowPay,Finance|FinTech|Software|Venture Capital,3800000,acquired,USA,DE,"Wilmington, Delaware",Wilmington,2,2011-04-20,2012-10-18,2014-02-20
FlowPlay,Gambling|Games|Messaging|MMO Games|Virtual Worlds,5039999,operating,USA,WA,Seattle,Seattle,4,2006-12-01,2007-05-01,2010-08-20
Flowsion,Medical Devices,46182,operating,DNK,21,DNK - Other,Nordborg,1,,2014-03-27,2014-03-27
Flowtap,Mobile Analytics|Mobile Enterprise|Productivity Software|SaaS,-,operating,AUT,9,Vienna,Vienna,1,,2012-04-29,2012-04-29
Flowtown,Analytics,750000,acquired,USA,CA,SF Bay Area,San Francisco,1,2009-02-01,2010-08-25,2010-08-25
Floxx,Social Media,300000,operating,GBR,H9,London,London,1,2011-01-03,2010-12-01,2010-12-01
Flubit Limited,Discounts|E-Commerce|Internet|Marketplaces|Retail|Social Commerce,2750000,operating,GBR,H9,London,London,4,2011-04-24,2011-04-01,2014-05-22
Fluency,Digital Media|Education,207358,operating,GBR,H9,London,London,2,2013-01-01,2013-07-01,2014-08-11
Fluency Mobile,Apps,-,operating,USA,MI,Grand Rapids,Grand Rapids,1,2015-01-15,2015-01-06,2015-01-06
Fluent.ai,Speech Recognition|Technology,414016,closed,CAN,QC,Montreal,Montréal,1,2015-01-01,2015-05-01,2015-05-01
Fluent Home,Home Automation|Security,30000000,operating,USA,WA,Seattle,Vancouver,1,2010-01-01,2014-01-01,2014-01-01
Fluential,Artificial Intelligence|Natural Language Processing|Software,2000000,operating,USA,CA,SF Bay Area,Sunnyvale,1,2001-01-01,2013-11-29,2013-11-29
Fluentify,Education|Language Learning|Marketplaces,410000,operating,GBR,H9,London,London,1,2013-02-01,2014-03-31,2014-03-31
fluently,Enterprise Software|SaaS|Translation,-,closed,GBR,H9,London,London,1,2015-05-10,2015-06-01,2015-06-01
FluGen,Biotechnology,18505332,operating,USA,WI,Madison,Madison,3,2007-01-01,2011-10-06,2015-08-25
Fluid,E-Commerce,24000000,operating,USA,CA,SF Bay Area,San Francisco,1,1999-01-01,2012-02-21,2012-02-21
Fluid-1,,-,operating,,,,,1,,2013-06-01,2013-06-01
Fluid Entertainment,Games|Kids|Virtual Worlds,3200000,operating,USA,CA,SF Bay Area,Mill Valley,1,1998-01-01,2008-03-12,2008-03-12
Fluid Imaging Technologies,Analytics,3900000,operating,USA,ME,"Portland, Maine",Yarmouth,1,1999-01-01,2013-01-08,2013-01-08
fluid Operations,Cloud Computing|Enterprise Software|Virtualization,5239600,operating,DEU,1,Frankfurt,Walldorf,1,2008-01-01,2010-12-26,2010-12-26
Fluid-Screen,Diagnostics|Nanotechnology|Technology|Testing,50000,operating,USA,MA,Boston,Cambridge,1,2013-01-01,2013-10-29,2013-10-29
Fluid Stone,Manufacturing,-,operating,USA,CA,Anaheim,Orange,1,2006-09-01,2014-02-27,2014-02-27
Fluidic Analytics,Biotechnology|Life Sciences,2443430,operating,GBR,H9,London,London,1,2013-01-01,2014-12-18,2014-12-18
Fluidinfo,Cloud Computing|Databases|Enterprise Software|Information Technology|Personalization|Search,2654239,operating,USA,NY,New York City,New York,3,2006-03-01,2009-09-01,2012-05-02
Fluidinova - Engenharia de Fluidos,Health Care,1550000,operating,PRT,17,Porto,Maia,1,,2005-10-04,2005-10-04
Fluidnet,Health Care,35772451,operating,USA,MA,Boston,Amesbury,3,2002-01-01,2010-04-05,2011-08-16
fluIT Biosystems,Curated Web,767000,closed,DEU,1,DEU - Other,Wendelsheim,1,,2006-08-01,2006-08-01
Flukle,Curated Web|Photography|Photo Sharing,10000,operating,GBR,I2,Manchester,Manchester,1,2010-01-06,2009-04-22,2009-04-22
Flumes,Analytics|Business Intelligence|Data Mining|Data Visualization|Predictive Analytics|Real Time,78915,operating,,,,,1,2011-11-12,2011-10-15,2011-10-15
Fluoresentric,Design|Manufacturing|Optimization,578800,operating,USA,UT,Salt Lake City,Park City,3,,2014-09-08,2015-02-10
Fluorofinder,Biotechnology|Internet|Software,1000000,operating,USA,CO,Denver,Broomfield,1,,2014-07-08,2014-07-08
Fluorous Technologies,Specialty Chemicals,3000000,operating,USA,PA,Pittsburgh,Ambridge,1,,2003-06-30,2003-06-30
FluTrends International,Biotechnology,300000,operating,USA,VA,"Washington, D.C.",Reston,1,2009-01-01,2011-06-17,2011-06-17
Flutter.com,Games,-,acquired,,,,,2,1999-01-01,1999-10-01,2000-04-01
Flutter,Apps|Software,1400000,acquired,USA,CA,SF Bay Area,Palo Alto,1,2010-01-01,2012-06-07,2012-06-07
Fluttr,Advertising Platforms|Events,170000,operating,GBR,H9,London,London,1,2014-08-01,2014-08-05,2014-08-05
Flutura Solutions,Software,-,operating,IND,19,Bangalore,Bangalore,1,2012-01-01,2013-11-21,2013-11-21
FLUVIP,Advertising|Facebook Applications|Internet Marketing|Marketplaces|Photo Sharing|Social Media Marketing|Twitter Applications|Video Streaming,3446683,operating,COL,34,Bogota,Bogotá,4,2013-07-10,2014-05-21,2015-11-26
Flux Inc.,Consumer Electronics|Hardware + Software,1300000,operating,,,,,1,,2014-12-17,2014-12-17
Flux Factory,Construction|Design|Product Design|Software,8000000,operating,USA,CA,SF Bay Area,San Francisco,2,2012-01-01,2014-05-06,2014-05-06
flux - neutrinity,Messaging|Software|Unifed Communications,102548,operating,DEU,16,Berlin,Berlin,2,2012-04-01,2013-08-05,2014-04-01
Flux Power,Clean Technology,1900000,closed,USA,CA,San Diego,Escondido,1,2009-10-01,2014-03-13,2014-03-13
FluxBand,Consumer Electronics|Health Care|Personal Health|Wearables,-,operating,USA,CA,SF Bay Area,Sunnyvale,1,2014-05-01,2014-12-15,2014-12-15
FluxDrive,,-,operating,USA,CT,CT - Other,South Kent,1,2003-01-01,2013-01-01,2013-01-01
Fluxedo,Incubators|Social Network Media|Startups,68839,operating,ITA,9,ITA - Other,Lomazzo,1,2014-07-14,2014-01-01,2014-01-01
Fluxion Biosciences,Biotechnology,9000000,operating,USA,CA,SF Bay Area,South San Francisco,2,2005-01-01,2007-10-20,2012-10-01
Fluxome,Health and Wellness,27739937.0108598,acquired,DNK,17,DNK - Other,Stenløse,3,,2005-11-30,2011-12-19
Fluxx,Big Data|Information Services|Information Technology|Non Profit,10200000,operating,USA,CA,SF Bay Area,San Francisco,1,2011-01-01,2015-08-26,2015-08-26
Fluxxion,,8663829.86404104,closed,NLD,6,Eindhoven,Eindhoven,1,,2007-05-17,2007-05-17
FLX,Film Production,-,operating,SWE,26,Stockholm,Stockholm,1,,2013-02-01,2013-02-01
FLX Micro,Manufacturing,400000,operating,USA,OH,Cleveland,Cleveland,1,2000-01-01,2006-09-07,2006-09-07
FLXone,Advertising|Big Data|Software,2651558,acquired,NLD,6,Eindhoven,Eindhoven,1,2012-02-01,2012-03-25,2012-03-25
Fly Apparel,E-Commerce|Fashion,40000,operating,USA,OH,"Columbus, Ohio",Columbus,2,2012-01-01,2013-09-01,2013-09-05
Fly dreamers,Internet|Social Network Media|Travel & Tourism,895000,operating,ARG,7,Buenos Aires,Buenos Aires,2,2011-09-21,2012-06-10,2012-11-01
Fly Fishing Hunter,E-Commerce,40000,operating,USA,CA,SF Bay Area,San Francisco,1,,2012-06-27,2012-06-27
Fly Labs,iPhone,750000,acquired,USA,NY,New York City,New York,1,,2015-05-19,2015-05-19
Fly me to the Moon,Media|News,-,operating,CAN,ON,Toronto,Toronto,1,2013-10-10,2013-10-10,2013-10-10
Fly Media,Internet Marketing|Public Relations|Video,1100000,closed,USA,CA,CA - Other,Clayton,2,1988-01-01,2011-04-07,2012-01-17
Fly Now Pay Later,Finance|FinTech,1500000,closed,,,,,1,2014-01-01,2015-06-01,2015-06-01
Fly Taxi,Apps|Automotive|Mobile|Public Transportation,20000,operating,HKG,,Hong Kong,Hong Kong,1,,2014-06-15,2014-06-15
Fly6,Automated Kiosk|Batteries|Energy Efficiency,155405,operating,AUS,8,Perth,Perth,1,2012-03-01,2014-02-18,2014-02-18
Flyability,Consumer Electronics|Drones|Robotics|Security,2487512.6863147,operating,CHE,23,Lausanne,Lausanne,2,2014-01-01,2015-01-29,2015-11-13
"Flybits, Inc.",Enterprise Software|Mobile Analytics|Mobile Software Tools|SaaS,4299999,operating,CAN,ON,Toronto,Toronto,3,2013-01-15,2013-03-01,2015-04-28
Flybrain,Training,-,operating,,,,,1,,2015-01-01,2015-01-01
FlyBridGe,Internet,-,operating,,,,,1,2010-10-22,2011-06-30,2011-06-30
Flyby Media,Computer Vision|Location Based Services|Mobile|Social Media|Video,19177200,operating,USA,NY,New York City,New York,7,2010-01-01,2010-05-26,2015-02-20
FlyCast,iPhone|Mobile,2100000,closed,USA,PA,Harrisburg,Lancaster,2,2006-01-01,2008-01-01,2009-07-22
FlyClip,Sports,-,operating,USA,NY,New York City,New York,1,2003-05-01,2013-08-25,2013-08-25
FlyData,Analytics|Big Data|Cloud Computing|Databases,3055000,operating,USA,CA,SF Bay Area,Palo Alto,3,2011-04-01,2011-09-30,2014-05-27
Flydog Marine,Mechanical Solutions,14754,operating,EST,1,Tallinn,Tallinn,1,,2012-09-16,2012-09-16
"Flyer, Inc.",Real Estate,40000,operating,USA,CA,SF Bay Area,Mountain View,2,2012-06-23,2013-04-24,2014-06-01
Flyezee.com,E-Commerce,180000,operating,TAN,,,,1,,2014-06-17,2014-06-17
Flyfit,Health and Wellness,90000,operating,USA,CA,SF Bay Area,San Francisco,1,,2014-03-05,2014-03-05
Flying Fish Creative Services,,2400000,closed,USA,LA,Baton Rouge,Baton Rouge,1,,2006-12-08,2006-12-08
Flying Pig Digital,Games,25000,closed,USA,NC,Asheville,Asheville,1,2010-01-01,2012-04-01,2012-04-01
FlyingCodes,Internet of Things|M2M|Technology,150000,operating,HKG,,Hong Kong,Kowloon City,2,2014-02-10,2011-10-06,2014-10-15
Flykt,Online Travel,115271,operating,PRT,14,Porto,Porto,2,2015-01-01,2015-03-01,2015-08-31
Flynn,Development Platforms,1405000,operating,,,,,2,,2014-07-16,2014-09-01
Flynx,Android|Apps|Productivity Software,20000,operating,IND,36,New Delhi,Noida,1,2014-01-01,2014-11-01,2014-11-01
Flypad,,-,operating,,,,,1,,2012-03-01,2012-03-01
Flypaper,Software,6629950,acquired,USA,OH,Cincinnati,Cincinnati,3,1998-01-01,2008-02-01,2013-11-04
Flypay,Apps|Customer Service|Restaurants,12444347,operating,GBR,H9,London,London,3,2013-02-26,2013-06-28,2015-07-16
Flypeeps,E-Commerce|Fashion|Social Commerce|Social Media,150000,operating,USA,CA,Anaheim,Irvine,1,,2013-02-08,2013-02-08
Flypost.co,Big Data|Consumers|Mobile|Startups,247755,operating,,,,,2,2011-03-01,2009-03-01,2011-01-01
Flypro Aerospace Technology,,12500000,operating,CHN,30,Shenzhen,Shenzhen,1,,2015-11-24,2015-11-24
FLYR,Big Data|Predictive Analytics|Travel,5342686,operating,USA,CA,SF Bay Area,San Francisco,3,,2014-01-01,2015-03-31
FlyReadyJet,Transportation,-,operating,USA,GA,Atlanta,Kennesaw,1,2011-04-01,2014-01-19,2014-01-19
Flyreel,Mobile|Social Network Media|Video,-,operating,USA,CO,Denver,Broomfield,1,2013-03-13,2015-03-01,2015-03-01
flyRuby.com,Curated Web,350000,operating,USA,PA,Pittsburgh,Pittsburgh,2,2010-10-01,2010-04-01,2010-08-01
Flytenow,Adventure Travel|Collaborative Consumption|Transportation|Travel,25000,operating,USA,MA,Boston,Boston,3,2013-09-01,2014-01-29,2014-06-01
flytographer,Photography,650000,operating,CAN,BC,Vancouver,Victoria,1,2013-01-01,2015-02-21,2015-02-21
Flytxt,Big Data Analytics|Mobile Advertising,11000000,operating,NLD,9,NLD - Other,Nieuwegein,1,2008-01-01,2015-06-30,2015-06-30
Flywheel,Blogging Platforms|Web Design|Web Hosting,1200000,operating,USA,NE,Omaha,Omaha,1,2012-10-01,2014-09-05,2014-09-05
Flywheel Healthcare,Biotechnology,1500000,operating,USA,IN,Indianapolis,Carmel,1,,2011-04-27,2011-04-27
Flywheel Software,Automotive|Mobile|Public Transportation|Real Time|Transportation,34855000,operating,USA,CA,SF Bay Area,Redwood City,5,2009-01-01,2009-12-16,2014-11-20
Flywheel Sports,Sports,108800000,operating,USA,NY,New York City,New York,1,2010-01-01,2014-04-17,2014-04-17
FM Facility Maintenance,Field Support Services,6500000,operating,USA,CT,Hartford,Hartford,1,1994-01-01,2010-12-21,2010-12-21
FM Global,Finance,8040210,operating,USA,CT,Hartford,Hartford,1,,2010-05-05,2010-05-05
FMI International,Logistics,49000000,closed,USA,NJ,Newark,Carteret,1,,2003-04-17,2003-04-17
